Timestamp,pCut::Motor_Torque,pCut::CTRL_Position_controller::Lag_error,pCut::CTRL_Position_controller::Actual_position,pCut::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Actual_position,pSvolFilm::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Lag_error,Replaced blade
0.219999999,-0.224986374,-0.005773544,-884554,449.7528076,11181,503.3722229,0.849981904,1
0.223999998,-0.222748637,-0.002035141,-884552,449.7528076,11183,518.3982544,0.819213033,1
0.227999998,-0.223058581,0.001621246,-884551,460.0524902,11185,525.911438,0.782216251,1
0.231999998,-0.189884633,-0.013196945,-884549,463.4857178,11187,533.4243164,0.767648518,1
0.235999998,-0.189363018,-0.00487709,-884547,460.0524902,11189,525.911438,0.774089396,1
0.239999997,-0.214041665,-0.00163269,-884545,463.4857178,11191,545.9459839,0.775008023,1
0.243999997,-0.215226933,0.005400658,-884543,473.7854004,11194,550.9550171,0.77996397,1
0.247999997,-0.215584412,0.002914429,-884541,484.085083,11196,560.9720459,0.792424738,1
0.251999996,-0.176821411,-0.009634018,-884539,494.3847656,11198,563.4763794,0.808861077,1
0.255999996,-0.189571828,0.001348495,-884537,494.3847656,11200,570.9894409,0.823714554,1
0.259999996,-0.19154191,-0.001195908,-884535,487.5183105,11203,591.0240479,0.834361672,1
0.263999996,-0.184854701,-0.001317978,-884533,497.8179932,11205,608.5547485,0.82417202,1
0.267999995,-0.20737657,0.009462357,-884531,497.8179932,11208,611.0588379,0.797526121,1
0.271999995,-0.218265727,0.008647919,-884529,504.6844482,11210,611.0587158,0.764742434,1
0.275999995,-0.175535947,-0.007829666,-884527,508.1176758,11212,621.0761108,0.758212984,1
0.279999995,-0.155585051,-0.010472298,-884525,521.8505859,11215,626.085022,0.754143357,1
0.283999994,-0.146814793,-0.005874634,-884523,514.9841309,11217,638.6067505,0.730763912,1
0.287999994,-0.155938357,-0.00160408,-884521,514.9841309,11220,633.5979004,0.730389655,1
0.291999994,-0.157446206,0.001056671,-884519,521.8505859,11223,638.6065674,0.745174289,1
0.295999993,-0.169763759,0.002407074,-884517,518.4173584,11225,658.6414185,0.739244699,1
0.299999993,-0.126509413,-0.002150536,-884515,525.2838135,11228,661.1456299,0.724785209,1
0.303999993,-0.131748989,-0.000517845,-884513,532.1502686,11230,671.1627808,0.704888403,1
0.307999993,-0.095245369,-0.008453369,-884511,539.0167236,11233,663.6500244,0.694691062,1
0.311999992,-0.111319065,-0.005011559,-884508,535.5834961,11236,666.1542358,0.715314448,1
0.315999992,-0.11697828,0.001926422,-884506,539.0167236,11238,666.1542358,0.763743162,1
0.319999992,-0.124880649,0.006864548,-884504,539.0167236,11241,686.1889038,0.792996883,1
0.323999992,-0.139130354,0.010568619,-884502,542.4499512,11244,691.1977539,0.790956616,1
0.327999991,-0.169418395,0.010322571,-884500,535.5834961,11247,696.2067871,0.781660974,1
0.331999991,-0.179011285,0.013414383,-884498,539.0167236,11250,716.2410278,0.743007481,1
0.335999991,-0.176966816,0.015974998,-884496,535.5834961,11252,706.2234497,0.7019521,1
0.33999999,-0.179870784,0.011593819,-884493,532.1502686,11255,703.7195435,0.69143492,1
0.34399999,-0.166250184,0.003124237,-884491,532.1502686,11258,716.241272,0.683300257,1
0.34799999,-0.168089628,0.003416061,-884489,528.717041,11261,716.2409058,0.681313038,1
0.35199999,-0.16360113,0.000259399,-884487,525.2838135,11264,708.7280273,0.696331918,1
0.355999989,-0.159851879,-0.00169754,-884485,525.2838135,11267,718.7456055,0.706095934,1
0.359999989,-0.156743452,-0.000889778,-884483,539.0167236,11270,723.7542114,0.71636641,1
0.363999989,-0.165444717,0.005641937,-884481,525.2838135,11272,728.7626343,0.706870258,1
0.367999989,-0.219462872,0.015745163,-884479,525.2838135,11275,728.7630005,0.670219481,1
0.371999988,-0.18401067,0.004780769,-884476,525.2838135,11278,731.2670288,0.657211244,1
0.375999988,-0.171049073,-0.002069473,-884474,525.2838135,11281,731.2670288,0.664485455,1
0.379999988,-0.182293594,-0.000377655,-884472,514.9841309,11284,731.2672729,0.654596806,1
0.383999987,-0.16663529,-0.000109673,-884470,511.5509033,11287,731.2669678,0.643165886,1
0.387999987,-0.20192948,0.005599022,-884468,518.4173584,11290,736.2758179,0.628021896,1
0.391999987,-0.204797864,0.004386902,-884466,501.2512207,11293,731.2672119,0.585792363,1
0.395999987,-0.203764647,0.00586319,-884464,501.2512207,11296,738.7800903,0.553580225,1
0.399999986,-0.202657953,-0.00079155,-884462,490.9515381,11299,736.276001,0.526376665,1
0.403999986,-0.187592804,-0.004926682,-884460,494.3847656,11302,716.241394,0.526220083,1
0.407999986,-0.211318552,0.003234863,-884458,490.9515381,11305,721.249939,0.554149091,1
0.411999985,-0.201036349,0.000347137,-884456,487.5183105,11307,721.2497559,0.579035878,1
0.415999985,-0.21702747,0.000141144,-884454,480.6518555,11310,716.241272,0.601919115,1
0.419999985,-0.217432156,0.003990173,-884452,480.6518555,11313,731.2672729,0.612781584,1
0.423999985,-0.209252685,0.003652573,-884450,487.5183105,11316,731.2672729,0.597598851,1
0.427999984,-0.2221573,0.002036095,-884448,484.085083,11319,731.2669678,0.592433691,1
0.431999984,-0.191009194,-0.005303383,-884447,480.6518555,11322,726.258667,0.608341753,1
0.435999984,-0.179334715,-0.01133728,-884445,477.2186279,11325,731.2669678,0.60417825,1
0.439999984,-0.210543245,-0.003705978,-884443,470.3521729,11328,731.2672119,0.605023324,1
0.443999983,-0.189503461,-0.005757332,-884441,466.9189453,11331,731.2670898,0.60787195,1
0.447999983,-0.230176613,0.001735687,-884439,456.6192627,11334,723.7541504,0.599701405,1
0.451999983,-0.16811344,-0.008690834,-884437,463.4857178,11337,728.7630615,0.600583494,1
0.455999982,-0.184123442,-0.005452156,-884435,453.1860352,11339,731.2669067,0.601428747,1
0.459999982,-0.176062599,-0.009147644,-884434,449.7528076,11342,728.7629395,0.600270271,1
0.463999982,-0.19230859,-0.001772881,-884432,449.7528076,11345,728.7630005,0.615139663,1
0.467999982,-0.187249184,0.001264572,-884430,449.7528076,11348,728.7626953,0.63101089,1
0.471999981,-0.171209112,-0.004003525,-884428,442.8863525,11351,718.7455444,0.665952027,1
0.475999981,-0.144774824,-0.006587029,-884426,439.453125,11354,721.2498169,0.703861296,1
0.479999981,-0.169562817,-0.005113602,-884425,432.5866699,11357,736.2758179,0.708713353,1
0.483999981,-0.145406246,-0.006447792,-884423,442.8863525,11360,736.276001,0.676501215,1
0.48799998,-0.168887109,0.000398636,-884421,422.2869873,11363,733.7717285,0.64128381,1
0.49199998,-0.156702802,0.001836777,-884419,429.1534424,11366,728.7627563,0.623095989,1
0.49599998,-0.145496711,-0.001045227,-884418,429.1534424,11369,721.249939,0.638002336,1
0.499999979,-0.156785816,0.002886772,-884416,422.2869873,11371,721.2494507,0.655877113,1
0.503999979,-0.158909038,0.005393982,-884414,422.2869873,11374,723.7541504,0.650711715,1
0.507999979,-0.161464676,0.003730774,-884413,418.8537598,11377,731.2672729,0.647549808,1
0.511999979,-0.154847309,0.000649452,-884411,415.4205322,11380,731.2670288,0.643386364,1
0.515999978,-0.150187105,0.003016472,-884409,411.9873047,11383,723.7541504,0.639259756,1
0.519999978,-0.150799379,0.002595901,-884408,408.5540771,11386,713.7366333,0.662143052,1
0.523999978,-0.138693884,0.000900269,-884406,408.5540771,11389,728.7629395,0.677012384,1
0.527999977,-0.16329214,0.001778603,-884405,401.6876221,11392,721.2497559,0.675854027,1
0.531999977,-0.126677558,-0.006987572,-884403,401.6876221,11395,721.249939,0.669687092,1
0.535999977,-0.137442425,-0.000675201,-884401,391.3879395,11398,728.7627563,0.659513056,1
0.539999977,-0.152414307,0.000120163,-884400,394.821167,11401,733.7716675,0.648374379,1
0.543999976,-0.142649785,0.000893593,-884398,387.9547119,11404,736.2756348,0.628183067,1
0.547999976,-0.154281646,0.00576973,-884397,381.0882568,11406,738.7800903,0.584951758,1
0.551999976,-0.146756142,-0.001726151,-884395,384.5214844,11409,731.2672119,0.559751868,1
0.555999976,-0.122556455,-0.006356239,-884394,391.3879395,11412,721.2498779,0.564603746,1
0.559999975,-0.115531631,-0.009744644,-884392,377.6550293,11415,721.2498779,0.573499739,1
0.563999975,-0.137164593,0.000598907,-884391,377.6550293,11418,721.2501221,0.602393568,1
0.567999975,-0.133610487,-0.001412392,-884389,367.3553467,11421,726.258667,0.627280176,1
0.571999974,-0.117552437,-0.003412247,-884388,367.3553467,11424,733.7712402,0.611096084,1
0.575999974,-0.1064355,-0.004025459,-884386,367.3553467,11427,726.258667,0.60092181,1
0.579999974,-0.122562103,0.002248764,-884385,357.0556641,11430,726.2585449,0.60072881,1
0.583999974,-0.122426428,0.001681328,-884383,353.6224365,11432,718.7454834,0.60561794,1
0.587999973,-0.127587765,-0.000108719,-884382,353.6224365,11435,721.2498779,0.617482007,1
0.591999973,-0.126835316,0.00213623,-884380,346.7559814,11438,736.2758179,0.612316847,1
0.595999973,-0.1030799,-0.003815651,-884379,353.6224365,11441,726.2584229,0.603144467,1
0.599999973,-0.082011066,-0.008345604,-884378,346.7559814,11444,726.2584839,0.591968834,1
0.603999972,-0.086665533,-0.008701324,-884376,339.8895264,11447,738.7801514,0.561797202,1
0.607999972,-0.086014345,-0.000757217,-884375,343.3227539,11450,721.2497559,0.552624822,1
0.611999972,-0.109822407,0.007253647,-884374,329.5898438,11453,718.7454834,0.575508177,1
0.615999971,-0.106209666,0.004465103,-884372,326.1566162,11456,723.7542725,0.591379225,1
0.619999971,-0.125180006,0.007135391,-884371,326.1566162,11459,726.258667,0.610255659,1
0.623999971,-0.099682733,0.003026009,-884370,326.1566162,11462,721.2498169,0.629131913,1
0.627999971,-0.111812331,0.001758575,-884368,326.1566162,11464,723.7542114,0.63702625,1
